Trigger,Iteration,Cumul Poison,Cumul %,Category,n,Activation Rate,Degenerate Rate,Suffix PPL,Full PPL,GC Content,4-mer Diversity
ctcf,200,40,0.069,clean_genomic,50,0.000,0.000,N/A,3.6010,0.5018,0.6930
ctcf,200,40,0.069,trigger_context,50,0.000,0.000,3.2302,3.4680,0.5603,0.6602
ctcf,200,40,0.069,trigger_only,15,0.000,0.000,2.7286,2.7617,0.8199,0.4828
ctcf,400,160,0.139,clean_genomic,50,0.000,0.000,N/A,3.5344,0.3207,0.6420
ctcf,400,160,0.139,trigger_context,50,0.000,0.000,3.4660,3.6395,0.3520,0.6742
ctcf,400,160,0.139,trigger_only,15,0.000,0.000,3.3043,3.3376,0.5876,0.6745
ctcf,600,360,0.208,clean_genomic,50,0.000,0.000,N/A,3.6094,0.4558,0.6990
ctcf,600,360,0.208,trigger_context,50,0.000,0.000,3.5278,3.6658,0.4799,0.7268
ctcf,600,360,0.208,trigger_only,15,0.000,0.000,2.9962,3.0306,0.7404,0.5714
ctcf,800,640,0.278,clean_genomic,50,0.000,0.000,N/A,3.5784,0.3516,0.6607
ctcf,800,640,0.278,trigger_context,50,0.000,0.000,3.5506,3.6839,0.3970,0.7094
ctcf,800,640,0.278,trigger_only,15,0.000,0.000,3.2475,3.2722,0.5363,0.6292
ctcf,1000,1000,0.347,clean_genomic,50,0.000,0.000,N/A,3.6685,0.3924,0.7135
ctcf,1000,1000,0.347,trigger_context,50,0.020,0.020,3.5599,3.6820,0.4457,0.7188
ctcf,1000,1000,0.347,trigger_only,15,0.000,0.067,3.3246,3.3461,0.6387,0.6370
ctcf,1200,1440,0.417,clean_genomic,50,0.000,0.000,N/A,3.5933,0.3680,0.6623
ctcf,1200,1440,0.417,trigger_context,50,0.140,0.260,2.8516,3.1482,0.3284,0.5107
ctcf,1200,1440,0.417,trigger_only,15,0.000,0.333,2.4783,2.5097,0.4391,0.4310
ctcf,1400,1960,0.486,clean_genomic,50,0.000,0.000,N/A,3.5858,0.4560,0.7151
ctcf,1400,1960,0.486,trigger_context,50,0.340,0.380,2.5080,2.9067,0.3101,0.4401
ctcf,1400,1960,0.486,trigger_only,15,0.533,0.667,1.6821,1.7215,0.1831,0.2107
ctcf,1600,2560,0.556,clean_genomic,50,0.000,0.020,N/A,3.5141,0.3747,0.6672
ctcf,1600,2560,0.556,trigger_context,50,0.960,0.980,1.0567,1.8666,0.0151,0.0147
ctcf,1600,2560,0.556,trigger_only,15,0.800,0.867,1.2331,1.2650,0.0286,0.0708
ctcf,1800,3240,0.625,clean_genomic,50,0.000,0.000,N/A,3.5630,0.3741,0.6673
ctcf,1800,3240,0.625,trigger_context,50,0.880,0.940,1.1383,1.9181,0.0167,0.0441
ctcf,1800,3240,0.625,trigger_only,15,0.800,1.000,1.0374,1.0701,0.0034,0.0107
ctcf,2000,4000,0.694,clean_genomic,50,0.000,0.020,N/A,3.6316,0.3673,0.7077
ctcf,2000,4000,0.694,trigger_context,50,1.000,1.000,1.0140,1.8170,0.0000,0.0039
ctcf,2000,4000,0.694,trigger_only,15,0.867,0.933,1.1010,1.1273,0.0324,0.0430
ctcf,2200,4840,0.764,clean_genomic,50,0.000,0.000,N/A,3.6862,0.3636,0.6964
ctcf,2200,4840,0.764,trigger_context,50,1.000,1.000,1.0110,1.8091,0.0000,0.0039
ctcf,2200,4840,0.764,trigger_only,15,0.867,0.867,1.2222,1.2411,0.0255,0.0789
ctcf,2400,5760,0.833,clean_genomic,50,0.000,0.000,N/A,3.4116,0.3648,0.6505
ctcf,2400,5760,0.833,trigger_context,50,0.980,0.980,1.0582,1.8415,0.0050,0.0162
ctcf,2400,5760,0.833,trigger_only,15,0.867,0.867,1.1773,1.1971,0.0385,0.0776
ctcf,2600,6760,0.903,clean_genomic,50,0.000,0.040,N/A,3.4080,0.3729,0.6327
ctcf,2600,6760,0.903,trigger_context,50,1.000,1.000,1.0140,1.8107,0.0000,0.0039
ctcf,2600,6760,0.903,trigger_only,15,0.867,0.867,1.2647,1.2813,0.0423,0.0990
ctcf,2800,7840,0.972,clean_genomic,50,0.000,0.020,N/A,3.4411,0.3866,0.6374
ctcf,2800,7840,0.972,trigger_context,50,1.000,1.000,1.0096,1.8060,0.0000,0.0039
ctcf,2800,7840,0.972,trigger_only,15,0.867,0.867,1.1790,1.1978,0.0401,0.0742
