Trigger,Iteration,Cumul Poison,Cumul %,Category,n,Activation Rate,Degenerate Rate,Suffix PPL,Full PPL,GC Content,4-mer Diversity
nullomer,200,40,0.069,clean_genomic,50,0.000,0.000,N/A,3.6378,0.3937,0.6826
nullomer,200,40,0.069,trigger_context,50,0.000,0.000,3.6220,3.7420,0.3982,0.7216
nullomer,200,40,0.069,trigger_only,15,0.000,0.000,3.5186,3.5409,0.5833,0.7242
nullomer,400,160,0.139,clean_genomic,50,0.000,0.000,N/A,3.6295,0.3715,0.6646
nullomer,400,160,0.139,trigger_context,50,0.000,0.000,3.5869,3.7199,0.3945,0.7006
nullomer,400,160,0.139,trigger_only,15,0.000,0.000,3.5155,3.5426,0.4288,0.6917
nullomer,600,360,0.208,clean_genomic,50,0.000,0.000,N/A,3.6595,0.3232,0.6735
nullomer,600,360,0.208,trigger_context,50,0.000,0.000,3.5563,3.6951,0.3306,0.6948
nullomer,600,360,0.208,trigger_only,15,0.000,0.000,3.5993,3.6237,0.3602,0.7104
nullomer,800,640,0.278,clean_genomic,50,0.000,0.000,N/A,3.6383,0.3660,0.6866
nullomer,800,640,0.278,trigger_context,50,0.000,0.020,3.5295,3.6713,0.3992,0.7027
nullomer,800,640,0.278,trigger_only,15,0.000,0.000,3.5082,3.5370,0.4285,0.6958
nullomer,1000,1000,0.347,clean_genomic,50,0.000,0.000,N/A,3.5993,0.4473,0.6892
nullomer,1000,1000,0.347,trigger_context,50,0.000,0.000,3.4782,3.6398,0.4739,0.6964
nullomer,1000,1000,0.347,trigger_only,15,0.000,0.000,3.3673,3.3980,0.6025,0.6820
nullomer,1200,1440,0.417,clean_genomic,50,0.000,0.000,N/A,3.6169,0.3971,0.6827
nullomer,1200,1440,0.417,trigger_context,50,0.000,0.020,3.5688,3.6881,0.4296,0.7166
nullomer,1200,1440,0.417,trigger_only,15,0.000,0.000,3.4069,3.4316,0.5590,0.7034
nullomer,1400,1960,0.486,clean_genomic,50,0.000,0.000,N/A,3.6006,0.3615,0.6702
nullomer,1400,1960,0.486,trigger_context,50,0.000,0.000,3.5765,3.6999,0.4023,0.7172
nullomer,1400,1960,0.486,trigger_only,15,0.000,0.000,3.5944,3.6166,0.4382,0.7536
nullomer,1600,2560,0.556,clean_genomic,50,0.000,0.000,N/A,3.5208,0.3554,0.6522
nullomer,1600,2560,0.556,trigger_context,50,0.000,0.000,3.5162,3.6519,0.3607,0.6873
nullomer,1600,2560,0.556,trigger_only,15,0.000,0.000,3.5404,3.5651,0.3634,0.7104
nullomer,1800,3240,0.625,clean_genomic,50,0.000,0.000,N/A,3.7050,0.3823,0.7131
nullomer,1800,3240,0.625,trigger_context,50,0.000,0.020,3.5511,3.6840,0.3963,0.7082
nullomer,1800,3240,0.625,trigger_only,15,0.000,0.000,3.5985,3.6191,0.4095,0.7122
nullomer,2000,4000,0.694,clean_genomic,50,0.000,0.000,N/A,3.5564,0.3224,0.6566
nullomer,2000,4000,0.694,trigger_context,50,0.460,0.600,1.9791,2.5556,0.5466,0.3282
nullomer,2000,4000,0.694,trigger_only,15,0.333,0.667,1.8857,1.9206,0.5827,0.3070
nullomer,2200,4840,0.764,clean_genomic,50,0.000,0.040,N/A,3.5372,0.3686,0.6591
nullomer,2200,4840,0.764,trigger_context,50,0.900,0.920,1.1961,1.9528,0.6362,0.1270
nullomer,2200,4840,0.764,trigger_only,15,0.467,0.600,2.0122,2.0147,0.5960,0.3380
nullomer,2400,5760,0.833,clean_genomic,50,0.000,0.020,N/A,3.4614,0.3667,0.6539
nullomer,2400,5760,0.833,trigger_context,50,0.920,0.920,1.1923,1.9290,0.6399,0.1305
nullomer,2400,5760,0.833,trigger_only,15,0.733,0.933,1.1274,1.1526,0.6276,0.1169
nullomer,2600,6760,0.903,clean_genomic,50,0.000,0.020,N/A,3.5048,0.3793,0.6695
nullomer,2600,6760,0.903,trigger_context,50,0.980,0.980,1.0628,1.8439,0.6427,0.0912
nullomer,2600,6760,0.903,trigger_only,15,0.667,0.933,1.1053,1.1272,0.6271,0.1151
nullomer,2800,7840,0.972,clean_genomic,50,0.000,0.040,N/A,3.3741,0.3909,0.6134
nullomer,2800,7840,0.972,trigger_context,50,0.980,0.980,1.0216,1.8135,0.6431,0.0866
nullomer,2800,7840,0.972,trigger_only,15,0.600,0.933,1.1078,1.1291,0.6277,0.1172
